name,commission,slippage,tax,年化報酬,Sharpe,年化換手率,總交易成本
c0p001425_s0p001_tax0p003,0.001425,0.001,0.003,5.8%,0.38,66.9%,0.014318922329944559
c0p001425_s0p001_tax0p0015,0.001425,0.001,0.0015,5.8%,0.38,66.9%,0.011582822521674897
c0p001425_s0p001_tax0p0,0.001425,0.001,0.0,5.8%,0.39,66.9%,0.008846722713405237
c0p001425_s0p0005_tax0p003,0.001425,0.0005,0.003,5.8%,0.38,66.9%,0.012494855791098118
c0p001425_s0p0005_tax0p0015,0.001425,0.0005,0.0015,5.8%,0.38,66.9%,0.009758755982828458
c0p001425_s0p0005_tax0p0,0.001425,0.0005,0.0,5.9%,0.39,66.9%,0.007022656174558797
c0p001425_s0p0001_tax0p003,0.001425,0.0001,0.003,5.8%,0.38,66.9%,0.011035602560020966
c0p001425_s0p0001_tax0p0015,0.001425,0.0001,0.0015,5.8%,0.39,66.9%,0.008299502751751306
c0p001425_s0p0001_tax0p0,0.001425,0.0001,0.0,5.9%,0.39,66.9%,0.005563402943481645
c0p001425_s0p0_tax0p003,0.001425,0.0,0.003,5.8%,0.38,66.9%,0.010670789252251678
c0p001425_s0p0_tax0p0015,0.001425,0.0,0.0015,5.9%,0.39,66.9%,0.007934689443982016
c0p001425_s0p0_tax0p0,0.001425,0.0,0.0,5.9%,0.39,66.9%,0.005198589635712356
c0p0007_s0p001_tax0p003,0.0007,0.001,0.003,5.8%,0.38,66.9%,0.011674025848617221
c0p0007_s0p001_tax0p0015,0.0007,0.001,0.0015,5.8%,0.39,66.9%,0.00893792604034756
c0p0007_s0p001_tax0p0,0.0007,0.001,0.0,5.9%,0.39,66.9%,0.006201826232077899
c0p0007_s0p0005_tax0p003,0.0007,0.0005,0.003,5.8%,0.38,66.9%,0.00984995930977078
c0p0007_s0p0005_tax0p0015,0.0007,0.0005,0.0015,5.9%,0.39,66.9%,0.0071138595015011186
c0p0007_s0p0005_tax0p0,0.0007,0.0005,0.0,5.9%,0.39,66.9%,0.0043777596932314585
c0p0007_s0p0001_tax0p003,0.0007,0.0001,0.003,5.8%,0.39,66.9%,0.008390706078693628
c0p0007_s0p0001_tax0p0015,0.0007,0.0001,0.0015,5.9%,0.39,66.9%,0.005654606270423966
c0p0007_s0p0001_tax0p0,0.0007,0.0001,0.0,5.9%,0.39,66.9%,0.0029185064621543052
c0p0007_s0p0_tax0p003,0.0007,0.0,0.003,5.9%,0.39,66.9%,0.00802589277092434
c0p0007_s0p0_tax0p0015,0.0007,0.0,0.0015,5.9%,0.39,66.9%,0.005289792962654678
c0p0007_s0p0_tax0p0,0.0007,0.0,0.0,5.9%,0.39,66.9%,0.002553693154385017
c0p0003_s0p001_tax0p003,0.0003,0.001,0.003,5.8%,0.38,66.9%,0.010214772617540068
c0p0003_s0p001_tax0p0015,0.0003,0.001,0.0015,5.9%,0.39,66.9%,0.007478672809270406
c0p0003_s0p001_tax0p0,0.0003,0.001,0.0,5.9%,0.39,66.9%,0.004742573001000745
c0p0003_s0p0005_tax0p003,0.0003,0.0005,0.003,5.8%,0.39,66.9%,0.008390706078693628
c0p0003_s0p0005_tax0p0015,0.0003,0.0005,0.0015,5.9%,0.39,66.9%,0.005654606270423966
c0p0003_s0p0005_tax0p0,0.0003,0.0005,0.0,5.9%,0.39,66.9%,0.002918506462154305
c0p0003_s0p0001_tax0p003,0.0003,0.0001,0.003,5.9%,0.39,66.9%,0.006931452847616473
c0p0003_s0p0001_tax0p0015,0.0003,0.0001,0.0015,5.9%,0.39,66.9%,0.004195353039346814
c0p0003_s0p0001_tax0p0,0.0003,0.0001,0.0,5.9%,0.39,66.9%,0.0014592532310771524
c0p0003_s0p0_tax0p003,0.0003,0.0,0.003,5.9%,0.39,66.9%,0.006566639539847185
c0p0003_s0p0_tax0p0015,0.0003,0.0,0.0015,5.9%,0.39,66.9%,0.003830539731577525
c0p0003_s0p0_tax0p0,0.0003,0.0,0.0,5.9%,0.39,66.9%,0.0010944399233078644
c0p0_s0p001_tax0p003,0.0,0.001,0.003,5.8%,0.39,66.9%,0.009120332694232203
c0p0_s0p001_tax0p0015,0.0,0.001,0.0015,5.9%,0.39,66.9%,0.006384232885962542
c0p0_s0p001_tax0p0,0.0,0.001,0.0,5.9%,0.39,66.9%,0.0036481330776928812
c0p0_s0p0005_tax0p003,0.0,0.0005,0.003,5.9%,0.39,66.9%,0.0072962661553857625
c0p0_s0p0005_tax0p0015,0.0,0.0005,0.0015,5.9%,0.39,66.9%,0.0045601663471161015
c0p0_s0p0005_tax0p0,0.0,0.0005,0.0,5.9%,0.39,66.9%,0.0018240665388464406
c0p0_s0p0001_tax0p003,0.0,0.0001,0.003,5.9%,0.39,66.9%,0.00583701292430861
c0p0_s0p0001_tax0p0015,0.0,0.0001,0.0015,5.9%,0.39,66.9%,0.0031009131160389496
c0p0_s0p0001_tax0p0,0.0,0.0001,0.0,6.0%,0.40,66.9%,0.00036481330776928816
c0p0_s0p0_tax0p003,0.0,0.0,0.003,5.9%,0.39,66.9%,0.005472199616539322
c0p0_s0p0_tax0p0015,0.0,0.0,0.0015,5.9%,0.39,66.9%,0.002736099808269661
c0p0_s0p0_tax0p0,0.0,0.0,0.0,6.0%,0.40,66.9%,0.0
