date,equity
2015-01-05,1.0
2015-01-06,1.0
2015-01-07,1.0
2015-01-08,1.0
2015-01-09,1.0
2015-01-12,1.0
2015-01-13,1.0
2015-01-14,1.0
2015-01-15,1.0
2015-01-16,1.0
2015-01-19,1.0
2015-01-20,1.0
2015-01-21,1.0
2015-01-22,1.0
2015-01-23,1.0
2015-01-26,1.0
2015-01-27,1.0
2015-01-28,1.0
2015-01-29,1.0
2015-01-30,1.0
2015-02-02,1.0
2015-02-03,1.0
2015-02-04,1.0
2015-02-05,1.0
2015-02-06,1.0
2015-02-09,1.0
2015-02-10,1.0
2015-02-11,1.0
2015-02-12,1.0
2015-02-13,1.0
2015-02-24,1.0
2015-02-25,1.0
2015-02-26,1.0
2015-03-02,1.0
2015-03-03,1.0
2015-03-04,1.0
2015-03-05,1.0
2015-03-06,1.0
2015-03-09,1.0
2015-03-10,1.0
2015-03-11,1.0
2015-03-12,1.0
2015-03-13,1.0
2015-03-16,1.0
2015-03-17,1.0
2015-03-18,1.0
2015-03-19,1.0
2015-03-20,1.0
2015-03-23,1.0
2015-03-24,1.0
2015-03-25,1.0
2015-03-26,1.0
2015-03-27,1.0
2015-03-30,1.0
2015-03-31,1.0
2015-04-01,1.0
2015-04-02,1.0
2015-04-07,1.0
2015-04-08,1.0
2015-04-09,1.0
2015-04-10,1.0
2015-04-13,1.0
2015-04-14,1.0
2015-04-15,1.0
2015-04-16,1.0
2015-04-17,1.0
2015-04-20,1.0
2015-04-21,1.0
2015-04-22,1.0
2015-04-23,1.0
2015-04-24,1.0
2015-04-27,1.0
2015-04-28,1.0
2015-04-29,1.0
2015-04-30,1.0
2015-05-04,1.0
2015-05-05,1.0
2015-05-06,1.0
2015-05-07,1.0
2015-05-08,1.0
2015-05-11,1.0
2015-05-12,1.0
2015-05-13,1.0
2015-05-14,1.0
2015-05-15,1.0
2015-05-18,1.0
2015-05-19,1.0
2015-05-20,1.0
2015-05-21,1.0
2015-05-22,1.0
2015-05-25,1.0
2015-05-26,1.0
2015-05-27,1.0
2015-05-28,1.0
2015-05-29,1.0
2015-06-01,1.0
2015-06-02,1.0
2015-06-03,1.0
2015-06-04,1.0
2015-06-05,1.0
2015-06-08,1.0
2015-06-09,1.0
2015-06-10,1.0
2015-06-11,1.0
2015-06-12,1.0
2015-06-15,1.0
2015-06-16,1.0
2015-06-17,1.0
2015-06-18,1.0
2015-06-22,1.0
2015-06-23,1.0
2015-06-24,1.0
2015-06-25,1.0
2015-06-26,1.0
2015-06-29,1.0
2015-06-30,1.0
2015-07-01,1.0
2015-07-02,1.0
2015-07-03,1.0
2015-07-06,1.0
2015-07-07,1.0
2015-07-08,0.9711848355024305
2015-07-09,0.964752652354692
2015-07-13,0.9673443187995785
2015-07-14,0.9713914190507503
2015-07-15,0.9738072967782626
2015-07-16,0.9737264876196159
2015-07-17,0.9688260414820625
2015-07-20,0.9597182255462179
2015-07-21,0.9596340338754351
2015-07-22,0.9521177408792524
2015-07-23,0.9472652234956581
2015-07-24,0.9462649388680845
2015-07-27,0.9266742157350238
2015-07-28,0.924649304176677
2015-07-29,0.9179966274992246
2015-07-30,0.9211941921642388
2015-07-31,0.9080071159629602
2015-08-03,0.9049011357268084
2015-08-04,0.9029819777099316
2015-08-05,0.9054597929978706
2015-08-06,0.8943328807386134
2015-08-07,0.892836320638261
2015-08-10,0.8974194409815758
2015-08-11,0.8847691387751819
2015-08-12,0.8640390077484489
2015-08-13,0.8568794541071755
2015-08-14,0.8632630252935712
2015-08-17,0.8536059499666355
2015-08-18,0.8416191090153086
2015-08-19,0.8152251853568467
2015-08-20,0.8138543526111965
2015-08-21,0.792878622104436
2015-08-24,0.7524258406639268
2015-08-25,0.773106114594378
2015-08-26,0.7823472249719708
2015-08-27,0.80071731154798
2015-08-28,0.8189964059766816
2015-08-31,0.8300042297187525
2015-09-01,0.8174146169159262
2015-09-02,0.8136506025637932
2015-09-03,0.8202808546173401
2015-09-04,0.8144173172883765
2015-09-07,0.817635287022341
2015-09-08,0.8185070619530617
2015-09-09,0.8441479580408343
2015-09-10,0.8513804583546534
2015-09-11,0.8554472250610128
2015-09-14,0.8547627912021957
2015-09-15,0.8528302677776691
2015-09-16,0.8593540259391977
2015-09-17,0.8682247813436549
2015-09-18,0.8682448178467593
2015-09-21,0.8479997051805777
2015-09-22,0.8486127099005032
2015-09-23,0.8317090355320494
2015-09-24,0.8253439764828898
2015-09-25,0.8215307018852784
2015-09-30,0.8195202900099912
2015-10-01,0.8264273908485569
2015-10-02,0.8307859489692665
2015-10-05,0.8369055699340315
2015-10-06,0.8440258571742462
2015-10-07,0.8490454706929258
2015-10-08,0.8434509252199883
2015-10-12,0.85708999425521
2015-10-13,0.861371948091524
2015-10-14,0.8578387879202971
2015-10-15,0.8643047066960151
2015-10-16,0.8681939242524533
2015-10-19,0.8704709858349847
2015-10-20,0.8721158085110895
2015-10-21,0.8661264723170492
2015-10-22,0.8671858623194645
2015-10-23,0.8690521958182402
2015-10-26,0.8754590341452504
2015-10-27,0.8734045245361265
2015-10-28,0.8732791748291353
2015-10-29,0.8671091803943869
2015-10-30,0.8623320985007231
2015-11-02,0.8655602602225126
2015-11-03,0.8729422014955059
2015-11-04,0.8814167544655567
2015-11-05,0.8825022726524527
2015-11-06,0.8685589463383365
2015-11-09,0.8612223811889544
2015-11-10,0.8506404649690819
2015-11-11,0.8420002141576075
2015-11-12,0.8405346692934045
2015-11-13,0.8314605616712433
2015-11-16,0.8250059299927855
2015-11-17,0.8383745255119943
2015-11-18,0.827199509757774
2015-11-19,0.8377712468835127
2015-11-20,0.831766111589635
2015-11-23,0.8310596388764875
2015-11-24,0.8261178194502501
2015-11-25,0.8228093138537173
2015-11-26,0.8352140713776757
2015-11-27,0.8283396922543522
2015-11-30,0.8236073602521002
2015-12-01,0.834993218644804
2015-12-02,0.8306449649760305
2015-12-03,0.8293209607617337
2015-12-04,0.8257418412081019
2015-12-07,0.8280470080596024
2015-12-08,0.818119145210263
2015-12-09,0.8087067781750171
2015-12-10,0.8020780377422057
2015-12-11,0.7956303475473254
2015-12-14,0.7867703488519274
2015-12-15,0.7884658436816884
2015-12-16,0.794839403796908
2015-12-17,0.8063729163865841
2015-12-18,0.7993854784609619
2015-12-21,0.8006114694549543
2015-12-22,0.8022194446170278
2015-12-23,0.8089844051720003
2015-12-24,0.8113957579635228
2015-12-25,0.8128120094350995
2015-12-28,0.8124789046378048
2015-12-29,0.8040629408722124
2015-12-30,0.8001590342261546
2015-12-31,0.7982006650180907
2016-01-04,0.784223018878191
2016-01-05,0.7824559869396558
2016-01-06,0.773607463569487
2016-01-07,0.7600458459535298
2016-01-08,0.7652118116930375
2016-01-11,0.7524128247777636
2016-01-12,0.7498346453260777
2016-01-13,0.7545060242003889
2016-01-14,0.7447439660572773
2016-01-15,0.739953149716356
2016-01-18,0.7444225572725063
2016-01-19,0.7494314744817856
2016-01-20,0.7351771796262179
2016-01-21,0.7294399394620855
2016-01-22,0.735228651092618
2016-01-25,0.7525699728695532
2016-01-26,0.7442881473908274
2016-01-27,0.7448055195563732
2016-01-28,0.7520128082678951
2016-01-29,0.7727757589772649
2016-01-30,0.7848900026075581
2016-02-01,0.783849683715536
2016-02-02,0.7828679557588116
2016-02-03,0.7764524073091629
2016-02-15,0.7749465140761874
2016-02-16,0.7912981046476552
2016-02-17,0.7862219489295876
2016-02-18,0.7937008114094364
2016-02-19,0.7968945080494271
2016-02-22,0.7954077936329085
2016-02-23,0.7956461036558482
2016-02-24,0.7929105157233121
2016-02-25,0.7999270627326391
2016-02-26,0.8072495220686566
2016-03-01,0.8108087187999187
2016-03-02,0.8164744342226367
2016-03-03,0.8247241347033732
2016-03-04,0.829744401155793
2016-03-07,0.8302460506917563
2016-03-08,0.8301744281719775
2016-03-09,0.827628211322749
2016-03-10,0.8295835833255205
2016-03-11,0.8346290567031632
2016-03-14,0.8385377955692119
2016-03-15,0.8214602984171949
2016-03-16,0.8299393558070335
2016-03-17,0.8314148490104524
2016-03-18,0.8366834832207939
2016-03-21,0.8369257178259222
2016-03-22,0.8358431068876047
2016-03-23,0.8354726448360547
2016-03-24,0.8329486754187919
2016-03-25,0.8315372451324208
2016-03-28,0.8307818757370324
2016-03-29,0.8166688168911365
2016-03-30,0.8240872716559136
2016-03-31,0.8215284649179335
2016-04-01,0.8166691240192683
2016-04-06,0.8077640481047497
2016-04-07,0.8058011960870579
2016-04-08,0.8054610926487271
2016-04-11,0.8066042074523248
2016-04-12,0.8048876814876285
2016-04-13,0.8162804330479967
2016-04-14,0.8149788424853468
2016-04-15,0.8178549393026977
2016-04-18,0.8152570013860005
2016-04-19,0.8096922088959247
2016-04-20,0.8006964707313063
2016-04-21,0.804619504438778
2016-04-22,0.8019181895948042
2016-04-25,0.8031647448932222
2016-04-26,0.8063352425713807
2016-04-27,0.8034088584868989
2016-04-28,0.7962101998141001
2016-04-29,0.7929776967231509
2016-05-03,0.7880589658646711
2016-05-04,0.7835284755826188
2016-05-05,0.7798041556152002
2016-05-06,0.771318372723862
2016-05-09,0.769241470879396
2016-05-10,0.7738423248651938
2016-05-11,0.7692690091536519
2016-05-12,0.7651931321209248
2016-05-13,0.7599152476209392
2016-05-16,0.7598826043431904
2016-05-17,0.7674600310293783
2016-05-18,0.7686465973776163
2016-05-19,0.7621777820144265
2016-05-20,0.7629611247109767
2016-05-23,0.7810824625599322
2016-05-24,0.7778904952264151
2016-05-25,0.7860608908304195
2016-05-26,0.785029574286101
2016-05-27,0.7907771411567479
2016-05-30,0.7977091288452662
2016-05-31,0.8001764110768187
2016-06-01,0.8046290412684327
2016-06-02,0.8014792868138809
2016-06-03,0.803059817385037
2016-06-04,0.8034104164409244
2016-06-06,0.8017628743843433
2016-06-07,0.8097133306149351
2016-06-08,0.8130186687914014
2016-06-13,0.7960040208751143
2016-06-14,0.8029616071436787
2016-06-15,0.8046601292783644
2016-06-16,0.7949237175777257
2016-06-17,0.799808446735867
2016-06-20,0.8071468464427204
2016-06-21,0.8136691966987477
2016-06-22,0.816301103533454
2016-06-23,0.8137115608653002
2016-06-24,0.7970815270670937
2016-06-27,0.797331604210388
2016-06-28,0.803531446182463
